,Location_ID,Parent_ID,Name,Country_ID,Type,Snippet,Snippet_Language,Temp_Avg_Min_Jan,Temp_Avg_Max_Jan,Temp_Avg_Min_Feb,Temp_Avg_Max_Feb,Temp_Avg_Min_Mar,Temp_Avg_Max_Mar,Temp_Avg_Min_Apr,Temp_Avg_Max_Apr,Temp_Avg_Min_May,Temp_Avg_Max_May,Temp_Avg_Min_Jun,Temp_Avg_Max_Jun,Temp_Avg_Min_Jul,Temp_Avg_Max_Jul,Temp_Avg_Min_Aug,Temp_Avg_Max_Aug,Temp_Avg_Min_Sep,Temp_Avg_Max_Sep,Temp_Avg_Min_Oct,Temp_Avg_Max_Oct,Temp_Avg_Min_Nov,Temp_Avg_Max_Nov,Temp_Avg_Min_Dec,Temp_Avg_Max_Dec,Similarity_Score
100,Guadalajara,wv__Pacific_Coast_28Mexico29,Guadalajara,Mexico,city,"Known for dinner. Recommended places to visit are Guadalajara Zoo, Guadalajara Cathedral and Templo Expiatorio.",,9.5,24.7,10.3,26.5,12.3,29.0,14.3,31.2,16.4,32.5,17.3,30.5,16.5,27.5,16.4,27.3,16.5,27.1,14.9,27.1,12.1,26.4,10.3,24.7,0.71597326
123,Mexico,,Mexico,Mexico,country,"Mexico is a big tourist attraction for sun-seekers, naturalists, ecotourists and historians; the former flock to Mexico's tropical beaches, while the latter will find everything from Mayan ruins to Spanish colonial history.",,,,,,,,,,,,,,,,,,,,,,,,,,0.4358631
353,Santiago,wv__Central_Chile,Santiago de Chile,Chile,city,"Capital of Chile with many museums, events, theaters, restaurants and bars.",,12.65,30.0,12.15,29.45,10.65,27.45,7.85,23.05,5.55,18.4,4.25,15.5,3.2,15.0,4.3,16.75,6.05,19.1,7.95,22.7,9.7,26.0,11.6,28.65,0.3873545
291,Lima,wv__Central_Coast_28Peru29,Lima,Peru,city,"The sprawling, Pacific coast capital of Peru is a center of cuisine.",,19.4,26.1,19.8,26.8,19.5,26.3,17.9,24.5,16.4,22.0,15.6,20.1,15.2,19.1,14.9,18.8,14.9,19.1,15.5,20.3,16.6,22.1,18.2,24.4,0.3487836
73,San_Diego,California,San Diego,United_States,city,"The central, largest city of the county, San Diego sprawls across the southwestern portion of the county and is the focal point for visitors to the area.",,9.44,18.39,10.39,18.33,11.78,18.67,13.28,19.72,15.22,20.28,16.67,21.56,18.56,23.67,19.28,24.67,18.44,24.39,15.89,22.67,12.0,20.56,9.11,18.17,0.30352014
348,Saltillo,wv__Northern_Mexico,Saltillo,Mexico,city,"Recommended places to visit are Saltillo Cathedral, Desert Museum and Parque Alameda Zaragoza.",,4.5,19.7,5.7,21.4,8.8,24.7,12.1,27.9,14.8,29.9,16.1,30.2,16.3,29.7,15.9,29.2,14.0,26.7,11.2,24.8,7.8,22.5,5.5,20.0,0.2693776
305,Midrand,wv__Gauteng,Midrand,South_Africa,city,"Recommended places to visit are Nizamiye Mosque, Madhya Kailash Temple and Grand Central Water Tower Midrand.",,14.6,26.4,14.3,26.1,12.9,25.1,9.5,22.8,5.7,20.7,2.5,17.9,2.6,18.1,5.0,21.0,8.6,23.9,11.3,25.0,12.9,25.4,14.0,26.1,0.24510495
27,Madrid,wv__Community_of_Madrid,Madrid,Spain,city,"Known for places to eat and drink. Recommended places to visit are Palacio Real, Museo del Prado and Museo Nacional Centro de Arte Reina Sofía.",,1.5,10.3,2.53,12.5,4.93,16.6,6.73,18.4,10.33,22.63,15.13,28.87,18.03,32.8,17.8,32.1,14.37,27.2,9.77,20.27,5.27,14.2,2.57,10.53,0.23806494
156,wv__Shanghai,China,Shanghai,China,city,"China's biggest and most developed city, huge and cosmopolitan. Museums, temples, fashion, finance, history, architecture—Shanghai has it all.",,2.1,8.1,3.7,10.1,6.9,13.8,11.9,19.5,17.3,24.8,21.7,27.8,25.8,32.2,25.8,31.5,22.4,27.9,16.8,22.9,10.6,17.3,4.7,11.1,0.22827761
320,Oklahoma_City,Oklahoma,Oklahoma City,United_States,city,"Known for lunch. Recommended places to visit are Oklahoma City National Memorial & Museum, Oklahoma City Zoo and Botanical Garden and Myriad Botanical Gardens.",,-1.7777777780000001,9.833333332999999,0.444444444,12.55555556,5.0,17.44444444,9.833333332999999,22.38888889,15.33333333,26.77777778,19.88888889,31.16666667,22.33333333,34.38888889,21.83333333,34.11111111,17.33333333,29.27777778,10.88888889,23.0,4.444444444,16.38888889,-0.7777777779999999,10.33333333,0.2240135
281,Irvine2C_California,California,Irvine,United_States,city,"Known for dinner. Recommended places to visit are Pao Fa Temple, William R. Mason Regional Park and Islamic Center of Irvine.",,5.055555556,19.83333333,6.222222222,20.22222222,7.444444444,20.72222222,9.055555556,22.88888889,11.72222222,24.11111111,13.72222222,25.94444444,15.72222222,29.11111111,15.94444444,29.33333333,14.66666667,28.94444444,11.88888889,26.27777778,7.333333333,22.88888889,4.666666667,19.88888889,0.22397505
136,Philippines,,Philippines,Philippines,country,"A unique fusion of the Asian traditions of non-confrontation and respect for elders combined with Spanish ideas of machismo, romance and sophistication (plus modern Americanization), the largest Christian nation in the region, and second largest archipelago with 7,641 islands – most with beautiful tropical beaches, warmth and friendly smiles.",,,,,,,,,,,,,,,,,,,,,,,,,,0.22290426
344,Riga,wv__Riga_region,Riga,Latvia,city,"Known for shopping. Recommended places to visit are St. Peter's Church, Freedom Monument and Riga Central Market.",,-7.8,-2.3,-7.6,-1.7,-4.7,2.7,1.0,9.8,5.9,16.2,10.0,20.1,12.3,21.7,11.8,21.0,8.0,16.3,4.0,10.4,-0.5,3.9,-4.4,0.3,0.21884444
265,Galway,wv__West_Ireland,Galway,Republic_of_Ireland,city,"Known for lunch. Recommended places to visit are Galway City Museum, Cathedral of Our Lady Assumed into Heaven and St Nicholas and Spanish Arch.",,3.5,8.7,3.8,9.1,4.9,10.8,5.8,13.0,8.0,15.8,10.6,17.8,12.9,19.5,12.5,19.1,10.4,17.3,7.9,14.1,5.1,11.0,3.6,9.0,0.21630403
14,Chicago,Illinois,Chicago,United_States,city,"The largest city in Illinois, and the third largest in the United States.",,-8.14,-0.42,-6.17,1.97,-1.08,8.17,4.58,15.06,9.97,21.17,15.61,26.56,18.72,28.97,18.08,27.78,13.28,23.92,6.81,16.97,0.81,9.11,-5.72,1.69,0.21196735
2,Singapore,,Singapore,Singapore,city_state,"Prosperous, clean and orderly island city-state, with a Chinese majority but with strong Malay and Indian communities, the main business and financial hub of the region.",,23.9,30.4,24.3,31.7,24.6,32.0,25.0,32.3,25.4,32.2,25.4,32.0,25.0,31.3,25.0,31.4,24.8,31.4,24.7,31.7,24.3,31.1,24.0,30.2,0.20971493
65,Makati,wv__Luzon,Makati,Philippines,city,"Known for dinner. Recommended places to visit are Ayala Museum, Salcedo Park and San Pedro Macati Church.",,21.0,30.0,21.0,30.0,21.0,31.0,22.0,33.0,23.0,34.0,24.0,34.0,24.0,33.0,24.0,31.0,24.0,31.0,24.0,31.0,23.0,31.0,22.0,31.0,0.20770532
17,Barcelona,wv__Catalonia,Barcelona,Spain,city,"Capital of Catalonia and home to Gaudí's famous Sagrada Família this place is much more than ""Spain's second city"".",,4.7,13.6,5.4,14.3,7.4,16.1,9.4,18.0,12.8,21.1,16.8,24.9,19.8,28.0,20.2,28.5,17.4,26.0,13.5,22.1,8.6,17.3,5.7,14.3,0.20703194
134,Perm,wv__Urals,Perm,Russia,city,"Known for shopping. Recommended places to visit are Perm Opera and Ballet Theatre, Perm Mosque and Immaculate Conception Church.",,-16.2,-9.3,-15.1,-7.6,-8.1,0.1,-0.9,8.7,5.4,16.9,11.1,22.5,13.3,24.2,11.0,20.5,6.2,13.9,0.5,5.9,-8.4,-3.1,-14.2,-8.0,0.20546108
384,Washington2C_D2eC2e,United_States,"Washington, D.C.",United_States,city,"The capital of the United States, with the country's most important museums and monuments nestled in the center of a diverse and vibrant city.",,-1.888888889,6.333333333,-0.611111111,8.388888889,3.111111111,13.27777778,8.333333332999999,19.22222222,13.61111111,24.11111111,19.05555556,29.0,21.72222222,31.33333333,20.94444444,30.27777778,16.88888889,26.38888889,10.33333333,20.22222222,5.1111111110000005,14.38888889,0.27777777800000003,8.222222222000001,0.20081663
109,Jubail,wv__Eastern_Province_28Saudi_Arabia29,Jubail,Saudi_Arabia,city,"Recommended places to visit are Jubail Church, Jubail Beach and Jubail Industrial City.",,9.0,23.0,13.0,26.0,17.0,32.0,22.0,34.0,25.0,39.0,30.0,44.0,31.0,45.0,30.0,44.0,27.0,43.0,24.0,36.0,19.0,27.0,14.0,24.0,0.19859108
8,Sydney,wv__New_South_Wales,Sydney,Australia,city,"The capital of the state and largest city in Australia, and its suburban surroundings, forms its own vibrant region.",,20.0,27.0,19.9,26.8,18.4,25.7,15.3,23.6,12.3,20.9,10.0,18.2,8.9,17.9,9.7,19.3,12.3,21.6,14.6,23.2,16.6,24.2,18.4,25.7,0.1960575
207,Arlington_County2C_Virginia,Virginia,Arlington,United_States,city,"Known for dinner. Recommended places to visit are Marine Corps War Memorial, Women in Military Service for America Memorial and Tomb of the Unknown Soldier.",,-1.888888889,6.333333333,-0.611111111,8.388888889,3.111111111,13.27777778,8.333333332999999,19.22222222,13.61111111,24.11111111,19.05555556,29.0,21.72222222,31.33333333,20.94444444,30.27777778,16.88888889,26.38888889,10.33333333,20.22222222,5.1111111110000005,14.38888889,0.27777777800000003,8.222222222000001,0.19574729
61,Katunayake,Sri_Lanka,Katunayake,Sri_Lanka,city,"Recommended places to visit are Negombo Lagoon, Buddhist Temple and Institute of Engineering Technology.",,,,,,,,,,,,,,,,,,,,,,,,,,0.19469246
246,Denpasar,wv__Bali,Denpasar,Indonesia,city,"Known for lunch. Recommended places to visit are Uluwatu Temple, Bali Museum and Bajra Sandhi Monument.",,24.1,33.0,24.2,33.4,24.0,33.6,24.8,34.4,24.1,33.1,23.5,31.4,23.0,30.4,22.5,29.6,22.9,31.4,23.7,33.6,23.5,32.7,23.5,33.0,0.19442368
352,Santa_Monica2C_California,California,Santa Monica,United_States,city,"Known for lunch. Recommended places to visit are Santa Monica Pier Aquarium, Pacific Park and Muscle Beach.",,10.5,17.61111111,10.77777778,17.33333333,11.38888889,16.94444444,12.44444444,17.77777778,13.88888889,18.11111111,15.55555556,19.44444444,17.0,21.0,17.33333333,21.27777778,17.11111111,21.5,15.38888889,20.77777778,12.77777778,19.5,10.44444444,17.61111111,0.19398627
114,Krabi,wv__Southern_Thailand,Krabi Town,Thailand,city,"Known for dinner. Recommended places to visit are Tiger Cave Temple, Wat Kaew and Fossil Shell Beach.",,21.6,32.9,22.0,34.2,23.0,34.3,23.6,34.1,23.7,32.9,23.3,31.9,23.0,31.5,22.9,31.4,22.9,31.2,22.4,31.3,22.5,31.1,21.7,31.4,0.19376539
243,Davao_City,wv__Mindanao,Davao,Philippines,city,"Known for shopping. Recommended places to visit are People's Park, Davao Cathedral and KJC King Dome.",,23.3,30.8,23.3,31.2,23.6,32.2,24.2,33.0,24.6,32.6,24.2,31.8,23.9,31.5,24.0,31.7,23.9,31.9,23.9,32.3,23.9,32.1,23.7,31.4,0.19368741
